,Spring,Line.Folder,Line,FolderName,Subfolder,CamID,First.Photo.Date,First.Snow,When.does.snow.melt.,What.date.is.maximum.snow.depth,Does.snow.return..when.,When.is.date.of.final.snow.,What.is.date.of.last.photo.,check.unID.,species,Detection.Dates,Taxa,Date,Time
1,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Mule.Deer,6/10/2022,Mammals,6/10/2022,20:03:54
2,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Mule.Deer, 6/14/22,Mammals,6/14/2022,21:45:12
3,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Mule.Deer, 6/20/22,Mammals,6/20/2022,20:29:02
4,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Pronghorn,6/7/2022,Mammals,6/7/2022,20:10:26
5,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Pronghorn,7/19/2022,Mammals,7/19/2022,18:31:31
6,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Pronghorn,7/27/2022,Mammals,7/27/2022,9:46:34
7,DVS,UIF,UIF,DivineSpringsUpperFence,100MEDIA,1,5/4/2022,5/4/2022,Between 5/24/22 and 6/3,5/4/2022,No,5/24/2022,8/5/2022,NA,Pronghorn,8/2/2022,Mammals,8/2/2022,16:17:38
8,MH,NA,Upland,UNR2,100MEDIA,3,6/5/2022,NA,NA,NA,NA,NA,8/6/2022,NA,Mule.Deer,7/25/2022,Mammals,7/25/2022,8:31:59
9,UIS,101,Spring,P6,101MEDIA,5,6/14/2022,NA,NA,NA,NA,NA,6/26/2022,NA,Mule.Deer,6/16/2022,Mammals,6/16/2022,5:03:43
10,BBS,104,Upland,P4,104MEDIA,7,7/15/2022,NA,NA,NA,NA,NA,8/7/2022,NA,Mule.Deer,7/21/2022,Mammals,7/21/2022,17:41:20
11,UIS,100,Spring,P3,100MEDIA,8,6/5/2022,NA,NA,NA,NA,NA,7/29/2022,NA,Mule.Deer,7/13/2022,Mammals,7/13/2022,0:38:31
12,UIS,100,Spring,P3,100MEDIA,8,6/5/2022,NA,NA,NA,NA,NA,7/29/2022,NA,Mule.Deer, 7/14/22,Mammals,7/14/2022,20:20:48
13,UIS,100,Spring,P3,100MEDIA,8,6/5/2022,NA,NA,NA,NA,NA,7/29/2022,NA,Mule.Deer, 7/17/22,Mammals,7/17/2022,19:50:44
14,UIS,100,Spring,P3,100MEDIA,8,6/5/2022,NA,NA,NA,NA,NA,7/29/2022,NA,Mule.Deer, 7/18/22,Mammals,7/18/2022,20:42:56
15,UIS,100,Spring,P3,100MEDIA,8,6/5/2022,NA,NA,NA,NA,NA,7/29/2022,NA,Mule.Deer, 7/19/22,Mammals,7/19/2022,20:03:31
16,UIS,100,Spring,P3,100MEDIA,8,6/5/2022,NA,NA,NA,NA,NA,7/29/2022,NA,Mule.Deer, 7/23/22,Mammals,7/23/2022,20:09:27
17,UIS,102,Spring,P3,102MEDIA,8,7/29/2022,NA,NA,NA,NA,NA,7/31/2022,NA,Mule.Deer,7/30/2022,Mammals,7/30/2022,23:33:30
18,DVS,IF W Facing,UIF,DVS_InsideFence_WestFacing,100MEDIA,10,5/4/2022,5/10/2022,Between 5/10/22 and 5/11/22,5/10/2022,NA,5/10/2022,6/4/2022,NA,Mule.Deer,5/16/2022,Mammals,5/16/2022,19:59:52
19,DVS,IF W Facing,UIF,DVS_InsideFence_WestFacing,100MEDIA,10,5/4/2022,5/10/2022,Between 5/10/22 and 5/11/22,5/10/2022,NA,5/10/2022,6/4/2022,NA,Pronghorn,5/19/2022,Mammals,5/19/2022,6:21:06
20,DVS,IF SE Facing,UIF,DVS_InsideFence_SoutheastFacing,100MEDIA,10,6/4/2022,NA,NA,NA,NA,NA,6/28/2022,NA,Mule.Deer,6/18/2022,Mammals,6/18/2022,20:51:32
21,DVS,IF SE Facing,UIF,DVS_InsideFence_SoutheastFacing,100MEDIA,10,6/4/2022,NA,NA,NA,NA,NA,6/28/2022,NA,Pronghorn,6/7/2022,Mammals,6/7/2022,20:15:40
22,BBS,CAM4 AACAM: 100,Spring,UCCAM4_AACAM,100EK113,12,5/6/2022,NA,NA,NA,NA,NA,6/1/2022,NA,Mule.Deer,5/12/2022,Mammals,5/12/2022,18:45:37
23,BBS,CAM4 AACAM: 100,Spring,UCCAM4_AACAM,100EK113,12,5/6/2022,NA,NA,NA,NA,NA,6/1/2022,NA,Mule.Deer, 5/22/22,Mammals,5/22/2022,5:35:21
24,UIS,CAM1 UIC1: 100,Spring,UISCAMI_UIC1,100EK113,14,5/5/2022,NA,NA,NA,NA,NA,7/27/2022,NA,Mule.Deer,6/20/2022,Mammals,6/20/2022,20:13:41
25,UIS,CAM1 UIC1: 100,Spring,UISCAMI_UIC1,100EK113,14,5/5/2022,NA,NA,NA,NA,NA,7/27/2022,NA,Mule.Deer, 7/9/22,Mammals,7/9/2022,5:33:18
26,UIS,CAM1 UIC1: 100,Spring,UISCAMI_UIC1,100EK113,14,5/5/2022,NA,NA,NA,NA,NA,7/27/2022,NA,Mule.Deer, 7/16/22,Mammals,7/16/2022,6:32:43
27,UIS,CAM1 UIC1: 100,Spring,UISCAMI_UIC1,100EK113,14,5/5/2022,NA,NA,NA,NA,NA,7/27/2022,NA,Mule.Deer, 7/21/22,Mammals,7/21/2022,20:06:51
28,UIS,CAM1 UIC1: 100,Spring,UISCAMI_UIC1,100EK113,14,5/5/2022,NA,NA,NA,NA,NA,7/27/2022,NA,Mule.Deer, 7/23/22,Mammals,7/23/2022,20:01:30
29,UIS,CAM1 UIC1: 101,Spring,UISCAMI_UIC1,101EK113,14,7/27/2022,NA,NA,NA,NA,NA,8/2/2022,NA,Mule.Deer,7/28/2022,Mammals,7/28/2022,7:26:27
30,DVS,CAM9 P10: 100,Upland,DVSCAM9_P10,100MEDIA,17,6/28/2022,NA,NA,NA,NA,NA,8/19/2022,NA,Mule.Deer,7/2/2022,Mammals,7/2/2022,5:10:05
31,DVS,CAM9 P10: 100,Upland,DVSCAM9_P10,100MEDIA,17,6/28/2022,NA,NA,NA,NA,NA,8/19/2022,NA,Mule.Deer, 7/14/22,Mammals,7/14/2022,20:07:28
32,DVS,CAM9 P10: 100,Upland,DVSCAM9_P10,100MEDIA,17,6/28/2022,NA,NA,NA,NA,NA,8/19/2022,NA,Mule.Deer, 7/16/22,Mammals,7/16/2022,15:03:40
33,DVS,CAM9 P10: 100,Upland,DVSCAM9_P10,100MEDIA,17,6/28/2022,NA,NA,NA,NA,NA,8/19/2022,NA,Mule.Deer, 7/20/22,Mammals,7/20/2022,20:52:26
34,DVS,CAM9 P10: 100,Upland,DVSCAM9_P10,100MEDIA,17,6/28/2022,NA,NA,NA,NA,NA,8/19/2022,NA,Mule.Deer, 7/24/22,Mammals,7/24/2022,7:32:38
35,DVS,CAM9 P10: 100,Upland,DVSCAM9_P10,100MEDIA,17,6/28/2022,NA,NA,NA,NA,NA,8/19/2022,NA,Mule.Deer, 8/5/22,Mammals,8/5/2022,5:20:15
36,DVS,CAM9 P10: 101,Upland,DVSCAM9_P10,101MEDIA,17,8/19/2022,NA,NA,NA,NA,NA,9/17/2022,NA,Mule.Deer,9/1/2022,Mammals,9/1/2022,20:56:30
37,DVS,CAM9 P10: 101,Upland,DVSCAM9_P10,101MEDIA,17,8/19/2022,NA,NA,NA,NA,NA,9/17/2022,NA,Mule.Deer, 9/6/22,Mammals,9/6/2022,1:55:29
38,DVS,CAM9 P10: 101,Upland,DVSCAM9_P10,101MEDIA,17,8/19/2022,NA,NA,NA,NA,NA,9/17/2022,NA,Mule.Deer, 9/11/22,Mammals,9/11/2022,19:24:15
39,DVS,CAM9 P10: 101,Upland,DVSCAM9_P10,101MEDIA,17,8/19/2022,NA,NA,NA,NA,NA,9/17/2022,NA,Mule.Deer, 9/15/22,Mammals,9/15/2022,6:56:25
40,DVS,UNKCAM: 100,Spring,UnnamedCamera_UNKCAM,100EK113,18,6/4/2022,NA,NA,NA,NA,NA,7/1/2022,NA,Mule.Deer,6/10/2022,Mammals,6/10/2022,20:13:17
41,DVS,UNKCAM: 100,Spring,UnnamedCamera_UNKCAM,100EK113,18,6/4/2022,NA,NA,NA,NA,NA,7/1/2022,NA,Mule.Deer, 6/14/22,Mammals,6/14/2022,21:19:48
42,DVS,UNKCAM: 100,Spring,UnnamedCamera_UNKCAM,100EK113,18,6/4/2022,NA,NA,NA,NA,NA,7/1/2022,NA,Mule.Deer, 6/29/22,Mammals,6/29/2022,21:33:58
43,DVS,UNKCAM: 106,Spring,UnnamedCamera_UNKCAM,106EK113,18,7/3/2022,NA,NA,NA,NA,NA,7/4/2022,NA,Mule.Deer,7/3/2022,Mammals,7/3/2022,21:37:54
