ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,41.31853997,-119.88376,2022.906616,2022-05-05T00:38:53Z,,,BBSCAM1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T00:38:53Z
2,41.31738997,-119.88494,2120.510742,2022-05-05T01:41:04Z,,,BBSCAM3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T01:41:04Z
3,41.31738997,-119.88554,2146.507324,2022-05-05T02:01:04Z,,,BBSCAM4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T02:01:04Z
4,41.31921999,-119.88632,2137.282715,2022-05-05T02:42:11Z,,,BBSCAM5,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T02:42:11Z
5,41.31645002,-119.88392,2152.016113,2022-05-05T02:19:39Z,,,BBSCAM6,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T02:19:39Z
6,41.31858498,-119.883693,2099.37915,2022-05-06T22:50:41Z,,,BBSTRI1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T22:50:41Z
7,41.31827502,-119.884122,2118.820557,2022-05-06T22:56:21Z,,,BBSTRI2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T22:56:21Z
8,41.31825096,-119.885383,2128.192139,2022-05-06T23:11:55Z,,,BBSTRI3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T23:11:55Z
9,41.32821998,-119.87559,,2022-05-04T17:31:45Z,,,DVSCAM1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-04T17:31:45Z
10,41.32571002,-119.87165,1988.605835,2022-05-04T18:01:47Z,,,DVSCAM10,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-04T18:01:47Z
11,41.32875801,-119.873231,1988.355713,2022-05-06T20:54:53Z,,,DVSCAM11,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T20:54:53Z
12,41.32584798,-119.874994,2029.905518,2022-08-06T02:18:39Z,,,DVSCAM3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-06T02:18:39Z
13,41.32624503,-119.872153,1998.658081,2022-05-04T20:01:29Z,,,DVSCAM5,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-04T20:01:29Z
14,41.32874301,-119.872018,1992.295166,2022-08-06T00:09:58Z,,,DVSCAM7,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-06T00:09:58Z
15,41.32745798,-119.871727,1993.151855,2022-05-04T21:20:56Z,,,DVSCAM8,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-04T21:20:56Z
16,41.32657,-119.87175,1986.119019,2022-05-04T18:03:24Z,,,DVSCAM9,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-04T18:03:24Z
17,41.32959,-119.87335,1847.674072,2022-05-04T05:29:41Z,,,DVSPARK,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-04T05:29:41Z
18,41.32876203,-119.873185,,2022-05-06T21:29:43Z,,,DVSTRI1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T21:29:43Z
19,41.327793,-119.872713,1997.08252,2022-05-06T21:30:45Z,,,DVSTRI1REAL,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T21:30:45Z
20,41.32699898,-119.872008,1994.215942,2022-05-06T21:34:47Z,,,DVSTRI2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T21:34:47Z
21,41.32621301,-119.872465,1988.236816,2022-05-06T21:49:06Z,,,DVSTRI3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T21:49:06Z
22,41.32774003,-119.875024,2003.399536,2022-05-06T23:48:03Z,,,DVSTRI4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-06T23:48:03Z
23,41.27831404,-119.893086,2196.941162,2022-08-06T23:20:51Z,,,MHCAM1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-06T23:20:51Z
24,41.27885702,-119.892814,2199.37915,2022-08-06T23:25:08Z,,,MHCAM2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-06T23:25:08Z
25,41.27929397,-119.892373,2197.647217,2022-08-06T23:32:02Z,,,MHCAM3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-06T23:32:02Z
26,41.27778799,-119.893211,2197.061523,2022-08-07T03:40:01Z,,,MHCAM4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-07T03:40:01Z
27,41.27810198,-119.893119,2198.575439,2022-08-06T23:18:11Z,,,MHTRI,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-06T23:18:11Z
28,41.27875904,-119.897105,2155.948975,2022-06-05T20:12:09Z,,,UC CAM1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-06-05T20:12:09Z
29,41.27830801,-119.896967,2152.791992,2022-06-05T20:32:49Z,,,UC CAM2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-06-05T20:32:49Z
30,41.27805403,-119.897334,2152.777588,2022-06-05T20:34:46Z,,,UC CAM3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-06-05T20:34:46Z
31,41.27789897,-119.897709,2155.207764,2022-06-05T20:36:56Z,,,UC CAM4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-06-05T20:36:56Z
32,41.26689998,-119.88348,1988.677979,2022-05-05T20:33:09Z,,,UISCAM1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T20:33:09Z
33,41.26559501,-119.882379,2000.623901,2022-08-07T01:46:10Z,,,UISCAM10,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-07T01:46:10Z
34,41.26700602,-119.885842,2014.895386,2022-08-07T00:50:14Z,,,UISCAM14,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-07T00:50:14Z
35,41.26574999,-119.88209,1996.711426,2022-05-05T20:19:51Z,,,UISCAM2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T20:19:51Z
36,41.26600002,-119.88344,2005.907104,2022-05-05T20:02:49Z,,,UISCAM3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T20:02:49Z
37,41.26685003,-119.88488,2155.490967,2022-05-05T18:51:54Z,,,UISCAM4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T18:51:54Z
38,41.26630998,-119.882765,1998.238037,2022-08-07T01:14:01Z,,,UISCAM7,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-07T01:14:01Z
39,41.26589801,-119.882421,2002.591675,2022-08-07T01:27:23Z,,,UISCAM9?,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-07T01:27:23Z
40,41.27825998,-119.89729,,2022-05-05T14:54:18Z,,,UISPARK,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-05T14:54:18Z
41,41.26696603,-119.884433,2005.947144,2022-08-07T00:57:27Z,,,UISTRAPS,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-08-07T00:57:27Z
42,41.32710099,-119.872619,1990.018311,2022-09-18T00:15:50Z,,,UNNAMED CAM,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-18T00:15:50Z
43,41.32772896,-119.872653,1988.820801,2022-09-18T00:27:56Z,,,UNNAMED CAM2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-18T00:27:56Z
